date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,rain_sum,showers_sum,snowfall_sum,precipitation_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2025-05-14 00:00:00+00:00,95.0,30.9585,26.258501,35.9745,32.454536,0,0,46367.76,17482.041,7.1,9.1,0.0,5.0,0.0,5.0,15.0,88.0,14.003028,29.16,135.89229,13.9,3.1569555
2025-05-15 00:00:00+00:00,95.0,28.4085,26.2085,34.20911,32.400127,0,0,46405.78,0.0,1.35,9.1,3.3,9.0,0.0,12.400002,16.0,90.0,12.261157,25.56,144.8224,7.36,1.642818
2025-05-16 00:00:00+00:00,95.0,30.9585,26.4085,36.346386,32.726795,0,0,46443.113,8498.039,4.55,9.05,0.0,6.2999997,0.0,6.2999997,10.0,90.0,14.04,34.56,151.60449,11.23,2.5419497
2025-05-17 00:00:00+00:00,95.0,31.4085,27.008501,37.530903,33.44401,0,0,46479.71,10578.59,4.9,9.15,0.0,8.999999,0.0,8.999999,14.0,85.0,15.629971,35.64,140.06198,14.19,3.1502314
2025-05-18 00:00:00+00:00,95.0,31.258501,26.7085,36.843693,33.466682,0,0,46515.547,26592.082,1.6,9.1,0.0,10.999998,0.0,10.699998,16.0,72.0,15.379206,36.0,154.35902,16.26,3.489308
2025-05-19 00:00:00+00:00,95.0,31.0585,26.6585,37.06139,33.116238,0,0,46550.566,9681.238,8.3,9.1,0.0,8.400001,0.0,8.099999,15.0,73.0,11.720751,26.64,173.2545,13.51,2.968775
2025-05-20 00:00:00+00:00,95.0,32.108498,26.8085,38.904472,33.331573,0,0,46584.74,16882.576,7.6,8.65,0.0,6.8,0.0,6.8,14.0,70.0,12.496718,27.359999,190.75232,15.67,3.4705641
