date,date_units,latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation,interval,interval_units,temperature_2m,temperature_2m_units,relative_humidity_2m,relative_humidity_2m_units,apparent_temperature,apparent_temperature_units,is_day,is_day_units,wind_speed_10m,wind_speed_10m_units,wind_direction_10m,wind_direction_10m_units,wind_gusts_10m,wind_gusts_10m_units,precipitation,precipitation_units,showers,showers_units,snowfall,snowfall_units,rain,rain_units,weather_code,weather_code_units,cloud_cover,cloud_cover_units,pressure_msl,pressure_msl_units,surface_pressure,surface_pressure_units
2025-05-20T03:45,iso8601,16.125,94.75,1.8379688262939453,0,GMT,GMT,7.0,900,seconds,30.8,°C,75,%,36.8,°C,1,,8.4,km/h,149,°,14.0,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.6,hPa,1006.8,hPa
2025-05-20T03:45,iso8601,15.875,94.75,0.08475780487060547,0,GMT,GMT,3.0,900,seconds,30.5,°C,75,%,36.8,°C,1,,10.4,km/h,160,°,15.1,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.8,hPa,1007.5,hPa
2025-05-20T03:45,iso8601,17.625,95.125,0.06687641143798828,0,GMT,GMT,10.0,900,seconds,31.5,°C,68,%,37.6,°C,1,,7.3,km/h,160,°,14.0,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.9,hPa,1006.8,hPa
2025-05-20T03:45,iso8601,16.75,95.625,0.27120113372802734,0,GMT,GMT,6.0,900,seconds,31.4,°C,69,%,37.9,°C,1,,6.6,km/h,151,°,13.0,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.9,hPa,1007.2,hPa
2025-05-20T03:45,iso8601,16.375,95.25,0.11968612670898438,0,GMT,GMT,3.0,900,seconds,31.2,°C,73,%,38.0,°C,1,,7.0,km/h,145,°,12.6,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.9,hPa,1007.6,hPa
2025-05-20T03:45,iso8601,18.125,95.25,0.09799003601074219,0,GMT,GMT,30.0,900,seconds,31.1,°C,69,%,36.9,°C,1,,9.9,km/h,170,°,20.2,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,98,%,1007.9,hPa,1004.5,hPa
2025-05-20T03:45,iso8601,18.25,95.375,0.10132789611816406,0,GMT,GMT,24.0,900,seconds,30.8,°C,71,%,36.3,°C,1,,9.9,km/h,170,°,20.9,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,98,%,1007.9,hPa,1005.2,hPa
2025-05-20T03:45,iso8601,18.25,95.375,0.07176399230957031,0,GMT,GMT,29.0,900,seconds,30.7,°C,71,%,36.2,°C,1,,9.9,km/h,170,°,20.9,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,98,%,1007.9,hPa,1004.6,hPa
2025-05-20T03:45,iso8601,16.625,94.875,1.8310546875,0,GMT,GMT,8.0,900,seconds,31.4,°C,70,%,37.3,°C,1,,8.9,km/h,153,°,16.6,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.7,hPa,1006.8,hPa
2025-05-20T03:45,iso8601,16.0,94.375,0.09191036224365234,0,GMT,GMT,6.0,900,seconds,30.5,°C,75,%,36.4,°C,1,,11.3,km/h,158,°,16.6,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.6,hPa,1006.9,hPa
2025-05-20T03:45,iso8601,16.5,94.75,0.07843971252441406,0,GMT,GMT,16.0,900,seconds,31.4,°C,72,%,38.1,°C,1,,8.4,km/h,149,°,15.8,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.7,hPa,1005.9,hPa
2025-05-20T03:45,iso8601,16.375,94.25,0.08654594421386719,0,GMT,GMT,10.0,900,seconds,31.5,°C,69,%,37.1,°C,1,,10.4,km/h,160,°,19.8,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.5,hPa,1006.4,hPa
2025-05-20T03:45,iso8601,17.0,95.625,1.0941028594970703,0,GMT,GMT,12.0,900,seconds,31.0,°C,71,%,37.5,°C,1,,6.5,km/h,146,°,14.0,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.9,hPa,1006.5,hPa
2025-05-20T03:45,iso8601,17.0,95.5,0.07855892181396484,0,GMT,GMT,10.0,900,seconds,31.1,°C,71,%,37.6,°C,1,,6.5,km/h,146,°,14.0,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.9,hPa,1006.8,hPa
2025-05-20T03:45,iso8601,17.0,94.5,0.09417533874511719,0,GMT,GMT,6.0,900,seconds,31.9,°C,68,%,38.4,°C,1,,8.9,km/h,148,°,21.2,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,2,wmo code,70,%,1007.6,hPa,1006.9,hPa
2025-05-20T03:45,iso8601,16.875,94.375,0.07355213165283203,0,GMT,GMT,4.0,900,seconds,31.8,°C,67,%,38.3,°C,1,,8.7,km/h,150,°,19.1,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,86,%,1007.5,hPa,1007.0,hPa
2025-05-20T03:45,iso8601,16.75,94.75,0.08237361907958984,0,GMT,GMT,8.0,900,seconds,31.8,°C,68,%,37.7,°C,1,,10.0,km/h,154,°,17.6,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,96,%,1007.6,hPa,1006.7,hPa
2025-05-20T03:45,iso8601,17.25,94.5,0.09107589721679688,0,GMT,GMT,8.0,900,seconds,31.7,°C,67,%,38.4,°C,1,,8.2,km/h,151,°,19.4,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.6,hPa,1006.7,hPa
2025-05-20T03:45,iso8601,15.75,95.375,0.40268898010253906,0,GMT,GMT,5.0,900,seconds,30.8,°C,75,%,37.1,°C,1,,7.9,km/h,150,°,15.8,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.9,hPa,1007.3,hPa
2025-05-20T03:45,iso8601,16.25,95.625,0.07653236389160156,0,GMT,GMT,4.0,900,seconds,31.2,°C,73,%,37.8,°C,1,,7.1,km/h,139,°,11.9,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1008.0,hPa,1007.5,hPa
2025-05-20T03:45,iso8601,17.0,94.75,0.08690357208251953,0,GMT,GMT,10.0,900,seconds,31.4,°C,71,%,38.2,°C,1,,8.0,km/h,144,°,17.3,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,2,wmo code,75,%,1007.7,hPa,1006.6,hPa
