date,date_units,latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation,weather_code,weather_code_units,temperature_2m_max,temperature_2m_max_units,temperature_2m_min,temperature_2m_min_units,apparent_temperature_max,apparent_temperature_max_units,apparent_temperature_min,apparent_temperature_min_units,sunrise,sunrise_units,sunset,sunset_units,daylight_duration,daylight_duration_units,sunshine_duration,sunshine_duration_units,uv_index_max,uv_index_max_units,uv_index_clear_sky_max,uv_index_clear_sky_max_units,rain_sum,rain_sum_units,showers_sum,showers_sum_units,snowfall_sum,snowfall_sum_units,precipitation_sum,precipitation_sum_units,precipitation_hours,precipitation_hours_units,precipitation_probability_max,precipitation_probability_max_units,wind_speed_10m_max,wind_speed_10m_max_units,wind_gusts_10m_max,wind_gusts_10m_max_units,wind_direction_10m_dominant,wind_direction_10m_dominant_units,shortwave_radiation_sum,shortwave_radiation_sum_units,et0_fao_evapotranspiration,et0_fao_evapotranspiration_units
2025-05-24,iso8601,17.25,95.625,0.21123886108398438,0,GMT,GMT,4.0,95,wmo code,34.0,°C,26.7,°C,41.1,°C,33.7,°C,2025-05-23T23:03,iso8601,2025-05-24T12:05,iso8601,46915.77,s,39875.19,s,8.1,,9.1,,0.0,mm,10.2,mm,0.0,cm,10.2,mm,9.0,h,86,%,15.1,km/h,30.6,km/h,159,°,20.47,MJ/m²,4.44,mm
2025-05-25,iso8601,17.25,95.625,0.21123886108398438,0,GMT,GMT,4.0,96,wmo code,32.1,°C,26.3,°C,39.2,°C,32.6,°C,2025-05-24T23:03,iso8601,2025-05-25T12:05,iso8601,46946.94,s,33621.32,s,7.45,,8.6,,0.3,mm,15.1,mm,0.0,cm,15.4,mm,20.0,h,93,%,9.4,km/h,24.5,km/h,149,°,15.67,MJ/m²,3.32,mm
2025-05-26,iso8601,17.25,95.625,0.21123886108398438,0,GMT,GMT,4.0,80,wmo code,30.7,°C,25.7,°C,35.2,°C,30.9,°C,2025-05-25T23:03,iso8601,2025-05-26T12:05,iso8601,46976.94,s,15842.33,s,5.7,,8.65,,0.3,mm,6.6,mm,0.0,cm,6.9,mm,12.0,h,88,%,12.9,km/h,29.5,km/h,160,°,11.83,MJ/m²,2.73,mm
2025-05-20,iso8601,16.375,95.875,0.9964704513549805,0,GMT,GMT,3.0,45,wmo code,32.3,°C,26.4,°C,38.5,°C,33.4,°C,2025-05-19T23:04,iso8601,2025-05-20T12:01,iso8601,46609.04,s,35796.37,s,8.3,,9.1,,0.0,mm,0.0,mm,0.0,cm,0.0,mm,0.0,h,40,%,13.5,km/h,26.6,km/h,173,°,20.53,MJ/m²,4.39,mm
2025-05-21,iso8601,16.375,95.875,0.9964704513549805,0,GMT,GMT,3.0,95,wmo code,32.2,°C,26.5,°C,39.3,°C,33.6,°C,2025-05-20T23:04,iso8601,2025-05-21T12:01,iso8601,46642.58,s,40169.93,s,7.1,,9.1,,0.0,mm,2.2,mm,0.0,cm,2.2,mm,6.0,h,53,%,12.8,km/h,25.6,km/h,180,°,21.46,MJ/m²,4.55,mm
2025-05-22,iso8601,16.375,95.875,0.9964704513549805,0,GMT,GMT,3.0,96,wmo code,33.0,°C,26.5,°C,41.3,°C,33.6,°C,2025-05-21T23:04,iso8601,2025-05-22T12:02,iso8601,46675.18,s,32021.65,s,6.8,,9.1,,0.0,mm,7.7,mm,0.0,cm,7.7,mm,11.0,h,73,%,12.4,km/h,25.9,km/h,198,°,19.43,MJ/m²,4.13,mm
2025-05-23,iso8601,16.375,95.875,0.9964704513549805,0,GMT,GMT,3.0,95,wmo code,32.4,°C,26.7,°C,39.2,°C,34.0,°C,2025-05-22T23:04,iso8601,2025-05-23T12:02,iso8601,46706.79,s,42944.26,s,8.5,,9.1,,0.0,mm,6.9,mm,0.0,cm,6.9,mm,15.0,h,90,%,13.3,km/h,29.2,km/h,191,°,20.27,MJ/m²,4.25,mm
2025-05-24,iso8601,16.375,95.875,0.9964704513549805,0,GMT,GMT,3.0,80,wmo code,31.8,°C,26.7,°C,38.4,°C,33.9,°C,2025-05-23T23:03,iso8601,2025-05-24T12:02,iso8601,46737.38,s,39733.48,s,8.0,,9.1,,0.0,mm,5.7,mm,0.0,cm,5.7,mm,11.0,h,85,%,14.6,km/h,27.4,km/h,160,°,19.68,MJ/m²,4.09,mm
2025-05-25,iso8601,16.375,95.875,0.9964704513549805,0,GMT,GMT,3.0,95,wmo code,30.2,°C,26.1,°C,37.0,°C,32.0,°C,2025-05-24T23:03,iso8601,2025-05-25T12:03,iso8601,46766.88,s,35869.68,s,2.55,,8.6,,1.2,mm,14.9,mm,0.0,cm,16.1,mm,21.0,h,94,%,9.2,km/h,22.3,km/h,172,°,15.06,MJ/m²,3.09,mm
2025-05-26,iso8601,16.375,95.875,0.9964704513549805,0,GMT,GMT,3.0,95,wmo code,30.7,°C,25.9,°C,34.9,°C,30.6,°C,2025-05-25T23:03,iso8601,2025-05-26T12:03,iso8601,46795.27,s,9226.15,s,3.6,,8.65,,1.8,mm,8.8,mm,0.0,cm,10.9,mm,16.0,h,90,%,13.2,km/h,25.9,km/h,182,°,11.65,MJ/m²,2.56,mm
2025-05-20,iso8601,16.875,95.125,0.21505355834960938,0,GMT,GMT,7.0,80,wmo code,34.2,°C,26.0,°C,40.4,°C,32.6,°C,2025-05-19T23:06,iso8601,2025-05-20T12:05,iso8601,46706.59,s,40229.23,s,8.9,,9.15,,0.0,mm,2.0,mm,0.0,cm,2.0,mm,6.0,h,58,%,12.3,km/h,25.9,km/h,182,°,21.59,MJ/m²,4.77,mm
2025-05-21,iso8601,16.875,95.125,0.21505355834960938,0,GMT,GMT,7.0,96,wmo code,34.6,°C,26.0,°C,41.1,°C,32.7,°C,2025-05-20T23:06,iso8601,2025-05-21T12:05,iso8601,46741.22,s,30438.28,s,9.05,,9.1,,0.0,mm,11.8,mm,0.0,cm,11.8,mm,8.0,h,70,%,13.0,km/h,28.4,km/h,183,°,20.18,MJ/m²,4.46,mm
2025-05-22,iso8601,16.875,95.125,0.21505355834960938,0,GMT,GMT,7.0,95,wmo code,34.1,°C,26.1,°C,41.5,°C,33.0,°C,2025-05-21T23:06,iso8601,2025-05-22T12:05,iso8601,46774.88,s,39618.94,s,8.6,,9.1,,0.0,mm,6.6,mm,0.0,cm,6.6,mm,7.0,h,75,%,13.4,km/h,27.7,km/h,223,°,21.81,MJ/m²,4.65,mm
2025-05-23,iso8601,16.875,95.125,0.21505355834960938,0,GMT,GMT,7.0,96,wmo code,33.5,°C,26.2,°C,41.4,°C,33.0,°C,2025-05-22T23:06,iso8601,2025-05-23T12:06,iso8601,46807.51,s,37139.89,s,8.0,,9.1,,0.0,mm,7.8,mm,0.0,cm,7.8,mm,6.0,h,90,%,13.2,km/h,31.3,km/h,198,°,19.58,MJ/m²,4.17,mm
2025-05-24,iso8601,16.875,95.125,0.21505355834960938,0,GMT,GMT,7.0,96,wmo code,34.2,°C,26.3,°C,41.2,°C,33.2,°C,2025-05-23T23:06,iso8601,2025-05-24T12:06,iso8601,46839.08,s,41031.62,s,6.75,,9.15,,0.0,mm,12.8,mm,0.0,cm,12.8,mm,11.0,h,88,%,13.4,km/h,29.5,km/h,167,°,20.38,MJ/m²,4.39,mm
2025-05-25,iso8601,16.875,95.125,0.21505355834960938,0,GMT,GMT,7.0,95,wmo code,31.1,°C,26.1,°C,38.0,°C,32.5,°C,2025-05-24T23:05,iso8601,2025-05-25T12:06,iso8601,46869.54,s,24448.12,s,4.95,,8.65,,0.0,mm,21.8,mm,0.0,cm,21.8,mm,24.0,h,95,%,9.8,km/h,22.3,km/h,162,°,12.94,MJ/m²,2.76,mm
2025-05-26,iso8601,16.875,95.125,0.21505355834960938,0,GMT,GMT,7.0,80,wmo code,30.5,°C,25.7,°C,35.8,°C,31.4,°C,2025-05-25T23:05,iso8601,2025-05-26T12:07,iso8601,46898.85,s,8630.5,s,5.3,,8.65,,7.5,mm,7.1,mm,0.0,cm,14.6,mm,16.0,h,90,%,11.0,km/h,27.4,km/h,175,°,10.59,MJ/m²,2.33,mm
2025-05-20,iso8601,17.5,95.5,0.9331703186035156,0,GMT,GMT,16.0,45,wmo code,34.2,°C,26.1,°C,40.2,°C,32.7,°C,2025-05-19T23:04,iso8601,2025-05-20T12:04,iso8601,46829.38,s,40919.99,s,9.05,,9.15,,0.0,mm,0.4,mm,0.0,cm,0.4,mm,3.0,h,35,%,9.7,km/h,19.8,km/h,186,°,20.42,MJ/m²,4.58,mm
2025-05-21,iso8601,17.5,95.5,0.9331703186035156,0,GMT,GMT,16.0,95,wmo code,34.6,°C,26.0,°C,41.1,°C,32.2,°C,2025-05-20T23:04,iso8601,2025-05-21T12:05,iso8601,46865.38,s,36000.0,s,8.5,,9.15,,0.0,mm,5.5,mm,0.0,cm,5.4,mm,4.0,h,60,%,12.7,km/h,27.0,km/h,190,°,21.14,MJ/m²,4.73,mm
2025-05-22,iso8601,17.5,95.5,0.9331703186035156,0,GMT,GMT,16.0,95,wmo code,34.3,°C,26.4,°C,40.9,°C,33.0,°C,2025-05-21T23:03,iso8601,2025-05-22T12:05,iso8601,46900.36,s,40784.86,s,9.15,,9.15,,0.0,mm,2.5,mm,0.0,cm,2.5,mm,4.0,h,55,%,13.0,km/h,27.0,km/h,220,°,21.96,MJ/m²,4.8,mm
2025-05-23,iso8601,17.5,95.5,0.9331703186035156,0,GMT,GMT,16.0,95,wmo code,34.1,°C,26.5,°C,41.8,°C,33.6,°C,2025-05-22T23:03,iso8601,2025-05-23T12:05,iso8601,46934.27,s,36246.57,s,8.75,,9.15,,0.0,mm,6.3,mm,0.0,cm,6.3,mm,9.0,h,75,%,11.4,km/h,27.4,km/h,197,°,21.01,MJ/m²,4.58,mm
2025-05-24,iso8601,17.5,95.5,0.9331703186035156,0,GMT,GMT,16.0,95,wmo code,34.1,°C,26.4,°C,41.3,°C,33.2,°C,2025-05-23T23:03,iso8601,2025-05-24T12:06,iso8601,46967.09,s,39424.66,s,7.7,,9.15,,0.0,mm,11.9,mm,0.0,cm,11.9,mm,14.0,h,79,%,12.4,km/h,25.6,km/h,167,°,20.66,MJ/m²,4.52,mm
2025-05-25,iso8601,17.5,95.5,0.9331703186035156,0,GMT,GMT,16.0,96,wmo code,31.9,°C,26.1,°C,38.5,°C,32.3,°C,2025-05-24T23:03,iso8601,2025-05-25T12:06,iso8601,46998.75,s,34260.19,s,5.85,,8.7,,0.0,mm,20.3,mm,0.0,cm,20.6,mm,24.0,h,94,%,10.1,km/h,25.9,km/h,150,°,15.86,MJ/m²,3.38,mm
2025-05-26,iso8601,17.5,95.5,0.9331703186035156,0,GMT,GMT,16.0,80,wmo code,30.0,°C,25.3,°C,35.0,°C,30.9,°C,2025-05-25T23:03,iso8601,2025-05-26T12:06,iso8601,47029.21,s,2717.54,s,4.9,,8.7,,17.9,mm,8.7,mm,0.0,cm,26.6,mm,21.0,h,93,%,14.0,km/h,34.6,km/h,167,°,9.55,MJ/m²,2.18,mm
2025-05-20,iso8601,17.625,95.5,0.9288787841796875,0,GMT,GMT,17.0,80,wmo code,33.8,°C,27.1,°C,39.7,°C,33.9,°C,2025-05-19T23:04,iso8601,2025-05-20T12:04,iso8601,46854.05,s,39019.44,s,8.95,,9.15,,0.0,mm,0.8,mm,0.0,cm,0.8,mm,3.0,h,23,%,9.0,km/h,16.9,km/h,186,°,20.35,MJ/m²,4.56,mm
